"","DEK1.bam","DEK2.bam","DEK3.bam","DEK4.bam","DEK5.bam","DEK6.bam","DEK7.bam","DEK8.bam"
"AABR07030603.2",1.40807771916175,0,0,0,0,0,0,0
"AABR07030603.1",0,0,0.90729551763381,0,0,0,0,0
"RGD1359290",0.47785442957978,1.92548804916813,1.29320401834683,4.88051620978423,4.32796948972581,3.66597692707055,0.991942678466111,3.84724932205205
"Psmd12",69.70628647832,54.3962953297983,69.1259603221613,65.1102525328471,72.6291503441154,80.7710837160389,64.1617556900519,75.2548505203111
"Helz",4.55300441243567,3.03314002882615,7.17610248546716,4.33666924767021,5.67587376121114,3.89849682646556,3.39820052742403,4.04149876051308
"Cacng1",0,0,0,0,0,0,0,0
"Cacng4",0,0.0464640064276058,0.109222199256554,0.123660468041539,0.0456917798039524,0.123849309689059,0,0
"Cacng5",0,0,0,0,0,0,0,0
"Prkca",3.36774493854632,2.39332316572641,1.38773349842809,2.20814536546616,3.34203588894132,2.72186759351632,2.93443200235998,3.18003935104263
"Apoh",0,0,0,0.131215825104904,0.581801251356085,0.919913431659066,0,0.129294723262394
"AABR07030630.1",0,0,0,0,0,0,0,0
"Cep112",4.04057084629024,5.28612247038704,3.31360102092348,2.57924671869249,3.74275274568028,2.44228445483448,5.83314048469124,5.12917788691625
"Axin2",0.119134176539757,0.320029725895831,0.0716465500262347,0.16223525931747,0.0449586953448266,0.162483008449755,0.0659471542565086,0
"AABR07030642.1",0,0,0,0,0,0,0,0
"RGD1565459",0,0,0,0,0,0,0.356454198278066,0
"Rgs9",2.35357604729884,1.12900056889199,1.8872345888875,0.667722296138453,0.37007890163127,0.468119381442686,0.651415266188723,1.05271411494862
"Gna13",9.16766617287345,6.38176562037305,11.1309315923034,12.1124083105122,11.0126490648784,13.3303654283845,9.62588250952284,11.9082528330155
"AC106648.1",0,0,0,0,0,0,0,0
"Amz2",17.6309254913761,17.8770976398113,17.1692860931401,14.923366047661,16.5422749771849,14.6703961630204,16.0273357729507,11.6662303142425
"Slc16a6",9.06800939353576,5.25586239307925,3.32848148346316,1.72455824459825,7.08015143034004,5.43745571062142,5.81584646918117,6.41961317245095
"Arsg",0.229577888993764,0.0264306123519352,0.124260038284631,0.46895394885318,0.207930708093349,0.516637096214986,0.190625506035661,0.554505717504459
"Wipi1",59.6099707700979,65.866851700428,66.154202532483,50.4113257179255,51.6679593545111,44.2301264260538,54.6446518450035,61.4051412377394
"AABR07030657.1",0,1.68862245581808,0,0.374511834153582,0,0.375083750408607,1.21788517745006,0
"Prkar1a",219.054768600765,221.923143670485,192.12646923618,152.650396802951,200.100681428746,215.483260527629,205.002178614292,197.885844444147
"Fam20a",0.0593735919811458,0.683550319446599,0.160681083988746,0,0,0.242932803862846,0,0.239011085131232
"RGD1559578",0,0,0,0,0,0,0,0
"AABR07030660.1",0,0,0,0,0,0,0,0
"Abca8",0,0,0.0293668401206998,0.199493356787111,0.0737115642131168,0,0.243276693892614,0
"Abca8a",1.78018605407631,0.736529970193523,2.73502999104099,3.15339621972477,1.16516044284969,0.199166507679654,3.94941237175552,2.07148536258251
"Abca9",0.227412059852313,0.336616289387854,1.05503806090724,0.696794782494112,0.625263332120329,0.199388244679883,0.701357993904792,1.0462372028386
"Abca6",0.204927223034537,0.0337037932412406,0,0,0,0,0,0.0294622793905992
"Abca5",0.711816109667989,1.46825738341494,1.20397996278405,1.06021698790529,1.30954300570867,1.12251238841625,0.689549667966482,1.31333033634739
"Map2k6",2.91000517796617,0.94492862812618,1.00964939256235,2.13381777952036,1.43607348441768,2.28972463744491,0.929333013409842,3.15386553879715
"AABR07030674.1",0,0,0,0,0,0,0,0
"Kcnj16",0,0,0,0.182915898648216,0,0,0.14870729131103,0
"Kcnj2",3.39649479607212,1.6292843230645,3.06394614948404,2.79445161302923,1.2817646389316,0.675552865536408,2.11515972450528,1.13939530994067
"AABR07030690.2",0,0,0,0,0,0,0,0
"AABR07030690.1",0,0,0,0,0,0,0,0
"AABR07030699.1",0,0,0,0,0,0,0,0
"AABR07030706.1",0,0,0,0,0,0,0,0
"AABR07030706.2",0,0,0,0,0,0,0,0
"AABR07030714.1",0,0,0,0,0,0,0,0
"Sox9",26.7720040024833,20.3167943894744,17.423655368244,17.030432879405,24.646172746591,18.9516000206454,17.2683298318445,19.7643996970157
"Mir297",0,0,0,0,0,0,0,0
"Slc39a11",5.29017963308664,9.16409714786666,9.67824361857975,5.1000937415072,4.53388236397365,3.99527410547595,10.3451819567668,6.16982797410548
"AABR07072200.1",0,0,0,0,0,0,0,0
"Sstr2",0,0,0.0684382394766883,0,0.25767275248637,0,0,0.0763507633058103
"Cog1",6.71940895541868,8.16223920527698,7.77974087389913,5.83608020516683,5.63058856334945,4.92494736007454,4.70069509372508,4.36622320980883
"Fam104a",44.961456016503,35.8507536773685,48.4981442158265,43.0976695302891,53.2655828344901,58.4553598713722,38.0354909265172,41.5583077809165
"MGC95210",6.77085342355224,5.49581183037471,3.07593268201499,3.78104936621476,4.30151856918205,4.3349162593349,6.06695568102428,4.65711482452046
"Cpsf4l",0,0,0,0,0,0,0,0
"Cdc42ep4",15.7289246985869,11.6640253591279,25.1966865617086,19.2088840109755,12.7375927144287,15.4020256068846,20.9613961919567,20.3359583588318
"AABR07030729.1",0,0,0,0,0,0,0,0
"Sdk2",0.188981798866818,0.0241743405657944,0,0.171568517873115,0.142635394271352,0.0214788149756785,0.261528895475755,0.063396232946394
"AABR07030739.1",0,0,0,0,0,0,0,0
"AC118434.1",0,0,0,0,0,0,0,0
"AC118434.3",0,0,0,0,0,0,0,0
"AC118434.2",0,0,0,0,0,0,0,0
"Ttyh2",0.0577712412128727,0,0.833838331304596,0,0.0654048999746584,0.295470788068049,0,0
"Dnai2",0.160170620228207,0.24586616141335,0,0.327177173618498,0.0604449732829502,0.109225601736784,0,0.161193522530366
"Kif19",0,0,0,0,0,0,0,0
"Btbd17",0,0,0,0.35312283525867,0,0,0,0
"Gpr142",0,0,0,0,0,0,0,0
"Gprc5c",2.15806242389655,1.08196508045826,1.66417256283196,0.426602801198015,1.61567779937399,0.783299486680598,0.375721992779583,1.15598176111262
"Cd300a",0,0,0,0.330519126362303,0,0,0,0.977040207043097
"Cd300lb",0.0768974482551927,0.0885297209846373,0.173421169936074,0,0.34823346743789,0.196645849728784,0.063850290856605,0.116082811006698
"Cd300ld",0,0,0,0,0,0,0,0
"AABR07030773.1",0,0,0,0,0,0,0,0
"Cd300le",0.216701427367575,0,0,0,0,0,0,0
"Cd300e",0,0,0,0,0.360000473196079,0,0,0
"Cd300lf",0,0,0,0,0,0,0,0
"Rab37",0,0,0,0,0,0,0,0
"Slc9a3r1",0.212344160061256,0.244465449367765,0,0.759064200053908,1.08181107344143,0,0,0.106850129881054
"Nat9",6.98154036286507,7.34473779415098,3.36616289122118,7.99110357373296,6.54128519381811,8.86520134704356,8.89537410763675,5.81472560908931
"Tmem104",0,0,0,0,0.0907592286085594,0,0,0
"Grin2c",0,0,0,0,0,0,0,0
"Fdxr",5.76501130265166,4.55680410673777,5.43342372727472,2.90007643003447,3.01985187813466,4.75282657769255,3.42939530684471,1.9916724915797
"Fads6",0.0882008593572923,0.507714992283833,0,0,0.299566095318229,0.0902205902987296,0,0
"Ush1g",0,0,0,0,0,0,0,0
"Otop2",0,0,0,0,0,0,0,0
"Otop3",0,0,0,0,0.083530617480444,0,0,0
"Hid1",1.27859464265192,2.41829817252932,2.38920281164164,1.95881888696529,1.49924094441767,2.94271529291457,2.65414008115378,1.97609597366644
"Cdr2l",12.3314971454245,12.2754995032254,12.5878291636596,11.0321519398779,14.9056561157348,16.2652647938384,15.0508795063977,12.1769747665323
"Ict1",70.021256143098,66.2967859827708,55.5718504550709,63.3087830951794,82.0893107993533,65.9495081153221,63.8595445219466,65.8475539536545
"Atp5h",1412.31170600621,1381.33570342987,1268.63395635846,1228.2931602922,1336.01699539797,1427.30610095034,1350.43525993687,1296.04362955446
"Kctd2",26.6273865749185,30.2094144479729,20.2644121114544,14.6361788682417,18.9644625803049,16.9365445050028,18.0896147995333,19.0018195523189
"Trim80",0,0.169411263565585,0.398232356787715,0,0.0832978335952221,0.376303251687223,0.610922429933146,0.370228503907413
"AABR07030777.1",0,0,0,0,0,0,0,0
"AABR07030779.1",0,0,0,0,0,0,0,0
"Slc16a5",0,0,0,0,0,0,0,0
"Armc7",3.47563487641192,3.07799536250384,2.59268307728902,1.84316710277104,2.34580055174933,4.03381208034371,2.77492825241786,2.21977763494665
"Nt5c",24.7133845210934,14.2258884129533,23.0246541527404,33.1026316837539,27.7495761168697,23.6216426344285,26.4072392184696,31.5986714019085
"Hn1",246.426318318256,252.341688086919,226.635405809233,190.429526029792,221.972416045065,214.955510696595,215.639594295153,202.731136602064
"Sumo2",0.555820152300691,1.27979807177791,0,0,1.25852797003869,0,0.923028766067413,3.35621881647436
"Nup85",25.895127917461,17.4876517342256,21.4674819566164,15.9572823144014,27.2695426932698,22.5666826273233,25.6456588325511,17.6891121868289
"Gga3",9.62466699929858,11.6155148689334,7.66439456756657,7.89793906946636,9.20560606620066,9.03030042467083,8.23967067886388,7.41490203639684
"Mrps7",124.089497091123,95.1183922956303,84.8507864234468,94.4445971817754,104.690087457531,118.479814793061,96.7027704991539,102.495960295489
"Mif4gd",14.7471289438973,11.7430657051616,13.192386531615,15.1873410355904,11.9652911348519,14.3305853685982,20.4083163948187,16.3254398598093
"LOC100910173",13.4518294332283,12.637136530769,12.0376912088236,13.1893298114957,10.2340895389695,14.4203394042961,10.2759061847349,11.2633973868093
"2310067B10Rik",0.0361169045612624,0,0.032580721392459,0,0,0,0.119955858791251,0.218085354011672
"Mir3577",0,0,0,0,0,0,0,0
"Caskin2",3.40908343053867,3.21457785809353,1.64016119400086,3.08390806496296,2.60978822235426,2.42439867859927,2.61499592518279,1.99316335739587
"Tsen54",6.64372193161842,4.79196751484302,11.3366093543659,7.60302549214467,8.51843464308653,10.8078705322387,6.18112113305123,8.05560352615119
"Llgl2",4.31246520419171,2.56800598772616,5.29876764992193,6.03719053375762,4.79811942578702,4.48727276715071,5.30941916364992,3.10534913962688
"ENSRNOG00000042445",0,0,0,0,0.473505572885844,0,0,0
"Recql5",1.94714972688181,1.91478110995198,2.41519511032099,1.24293812308077,2.25036403349428,2.48967242268658,1.8188748668089,1.46968864946764
"Smim5",10.2296244554486,1.73192046750572,1.35706594517878,4.60937642035177,5.10940842537075,7.07850359745474,3.87225030778993,5.14747710219002
"Sap30bp",11.3577968266245,13.5367144436712,9.97494906192004,9.60718670960748,12.5186961770194,11.5667014276352,8.97372881224099,9.16440671775768
"LOC100360679",173.898897281162,158.481267679989,188.510731512062,162.08761625168,161.472389366219,149.479871011548,176.184392976945,156.184924536023
"Itgb4",0.490429546147669,0.430184225807702,0.884823802026781,0.381634350238767,0.396594948541604,0.310551428909736,0.601132179581719,0.51706452354647
"Galk1",60.3006092722593,48.3476586519274,63.3547876465557,49.8564636258109,43.8868854808809,47.4849228916081,46.9897631456638,41.9020370364963
"H3f3b",330.388807035406,275.32229016807,366.031820422364,266.959866416249,306.336733733292,303.366865887112,347.164477369118,286.894977775147
"Unk",0.058953756384703,0.0678716878408458,0,0,0,0,0.244755487838866,0.0593302544780543
"Unc13d",2.12312537699371,3.1685246378716,2.69553917748243,1.28499667295585,1.86951846628979,1.56848126753145,2.28523503140294,2.09711612570717
"Wbp2",0,0,0,0.816086317045888,0,1.43033198138162,2.48798737385762,0
"Trim47",68.3218784115563,80.6482397279158,84.5171779961431,60.1372633273438,67.2321902829586,52.2673574818706,80.1875991267391,68.1779664038126
"Trim65",6.88273283514058,7.37530690261721,6.82973372189421,4.43405989741192,5.6343523257581,7.90684569043171,6.55020330064383,5.86104388906368
"Mrpl38",9.95365284235031,8.38488391854496,10.8406171331074,5.82688757138262,7.69582620759291,8.31909890561435,9.77667825208185,7.94047938380428
